age,Age class,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),TIME_PERIOD,Time,OBS_VALUE
Y35-39,From 35 to 39 years,A15-A19_B90,Tuberculosis,2011,,0.29
Y35-39,From 35 to 39 years,A15-A19_B90,Tuberculosis,2012,,0.19
Y35-39,From 35 to 39 years,A15-A19_B90,Tuberculosis,2013,,0.05
Y35-39,From 35 to 39 years,A15-A19_B90,Tuberculosis,2014,,0.34
Y35-39,From 35 to 39 years,A15-A19_B90,Tuberculosis,2015,,0.05
Y35-39,From 35 to 39 years,A15-A19_B90,Tuberculosis,2016,,0.1
Y35-39,From 35 to 39 years,A15-A19_B90,Tuberculosis,2017,,0.05
Y35-39,From 35 to 39 years,A15-A19_B90,Tuberculosis,2018,,0.06
Y35-39,From 35 to 39 years,A15-A19_B90,Tuberculosis,2019,,0.12
Y35-39,From 35 to 39 years,A15-A19_B90,Tuberculosis,2020,,0.12
Y35-39,From 35 to 39 years,A15-A19_B90,Tuberculosis,2021,,0.06
Y35-39,From 35 to 39 years,ACC,"Accidents (V01-X59, Y85, Y86)",2011,,18.44
Y35-39,From 35 to 39 years,ACC,"Accidents (V01-X59, Y85, Y86)",2012,,17.28
Y35-39,From 35 to 39 years,ACC,"Accidents (V01-X59, Y85, Y86)",2013,,14.01
Y35-39,From 35 to 39 years,ACC,"Accidents (V01-X59, Y85, Y86)",2014,,14.09
Y35-39,From 35 to 39 years,ACC,"Accidents (V01-X59, Y85, Y86)",2015,,13.43
Y35-39,From 35 to 39 years,ACC,"Accidents (V01-X59, Y85, Y86)",2016,,14.63
Y35-39,From 35 to 39 years,ACC,"Accidents (V01-X59, Y85, Y86)",2017,,15.09
Y35-39,From 35 to 39 years,ACC,"Accidents (V01-X59, Y85, Y86)",2018,,16.63
Y35-39,From 35 to 39 years,ACC,"Accidents (V01-X59, Y85, Y86)",2019,,14.59
Y35-39,From 35 to 39 years,ACC,"Accidents (V01-X59, Y85, Y86)",2020,,17.81
Y35-39,From 35 to 39 years,ACC,"Accidents (V01-X59, Y85, Y86)",2021,,17.22
Y35-39,From 35 to 39 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2011,,3.57
Y35-39,From 35 to 39 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2012,,3
Y35-39,From 35 to 39 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2013,,1.97
Y35-39,From 35 to 39 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2014,,2.31
Y35-39,From 35 to 39 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2015,,1.97
Y35-39,From 35 to 39 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2016,,2.77
Y35-39,From 35 to 39 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2017,,2.07
Y35-39,From 35 to 39 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2018,,2.45
Y35-39,From 35 to 39 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2019,,1.96
Y35-39,From 35 to 39 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2020,,2.9
Y35-39,From 35 to 39 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2021,,3.34
Y35-39,From 35 to 39 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2011,,0.62
Y35-39,From 35 to 39 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2012,,0.43
Y35-39,From 35 to 39 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2013,,0.34
Y35-39,From 35 to 39 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2014,,0.44
Y35-39,From 35 to 39 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2015,,0.4
Y35-39,From 35 to 39 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2016,,0.47
Y35-39,From 35 to 39 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2017,,0.22
Y35-39,From 35 to 39 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2018,,0.46
Y35-39,From 35 to 39 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2019,,0.47
Y35-39,From 35 to 39 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2020,,0.55
Y35-39,From 35 to 39 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2021,,0.13
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2011,,0.38
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2012,,0.33
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2013,,0.48
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2014,,0.25
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2015,,0.2
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2016,,0.16
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2017,,0.27
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2018,,0
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2019,,0.12
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2020,,0.49
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2021,,0.13
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2011,,0.24
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2012,,0.29
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2013,,0.34
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2014,,0.15
